reward_function,epsilon,run,avg_final_state,avg_avg_state,avg_accuracy,avg_engagement,avg_questions_answered,avg_total_reward
correctness,0.05,1,2.0425,1.983393462424691,0.33752077688536875,0.42394588679219475,45.4725,0.33752077688536875
correctness,0.05,2,2.0475,1.955445522553438,0.3623003829987392,0.4549377598303508,59.53,0.3623003829987392
correctness,0.05,3,2.1175,2.063448716772955,0.3477737083572873,0.41566863629851625,53.2775,0.3477737083572873
correctness,0.05,4,1.975,1.9213550552802168,0.37331551774633687,0.4586234631701952,53.575,0.37331551774633687
correctness,0.05,5,2.0825,2.0230005348480806,0.34820274411322366,0.43770333468652095,54.7675,0.34820274411322366
correctness,0.05,6,2.125,2.0621495339939755,0.34305883548399974,0.40662249176162346,53.505,0.34305883548399974
correctness,0.05,7,2.18,2.0919449410148614,0.32798025916912876,0.399774156144384,54.5025,0.32798025916912876
correctness,0.05,8,2.1325,2.069295069953024,0.3313274478159002,0.42087083214365334,52.3575,0.3313274478159002
correctness,0.05,9,2.15,2.029401683436097,0.3491039686240148,0.4353736580340509,51.4325,0.3491039686240148
correctness,0.05,10,2.065,1.996731525624653,0.32853415863159297,0.43624547382134227,51.3425,0.32853415863159297
correctness,0.05,11,2.02,1.9580078139410704,0.3614203797734488,0.46762384737617724,53.0575,0.3614203797734488
correctness,0.05,12,2.045,1.9823107171430558,0.35098118049511384,0.42965526941161625,56.4825,0.35098118049511384
correctness,0.05,13,2.13,2.06829133504124,0.363557970004249,0.4442882827199896,59.965,0.363557970004249
correctness,0.05,14,2.065,2.025424164464538,0.3493783121311936,0.4367088796676256,52.5225,0.3493783121311936
correctness,0.05,15,2.0525,2.0052758472486154,0.3464180853268357,0.42875538602181007,57.7975,0.3464180853268357
correctness,0.05,16,2.0975,2.0244515443883753,0.3339009616616066,0.40706814204874475,45.15,0.3339009616616066
correctness,0.05,17,2.0975,2.0116986040426443,0.3334556940336284,0.42856911332435543,47.7425,0.3334556940336284
correctness,0.05,18,2.0975,2.0207638093700853,0.33045933334961525,0.4116955223643511,42.695,0.33045933334961525
correctness,0.05,19,2.0325,1.9368464755687915,0.35998621119474633,0.4742221153353565,59.085,0.35998621119474633
correctness,0.05,20,2.0725,2.0129278768945498,0.3468538501146003,0.4399944672806001,52.67,0.3468538501146003
correctness,0.05,21,2.08,2.002093496416166,0.34676673856553886,0.41999250607968136,51.1725,0.34676673856553886
correctness,0.05,22,2.0825,2.0380601570359222,0.3361415383677965,0.42651935192969204,49.7375,0.3361415383677965
correctness,0.05,23,2.0925,2.0371927073475535,0.3675142817847298,0.44245757914169914,57.905,0.3675142817847298
correctness,0.05,24,2.14,2.0674992416073907,0.3237186477376878,0.4082395405574421,47.8575,0.3237186477376878
correctness,0.05,25,2.005,1.9697044123148941,0.34999636228022424,0.4537187056297941,53.0,0.34999636228022424
correctness,0.05,26,2.0025,1.9435270277641234,0.3532630718117977,0.46131123486964176,49.0325,0.3532630718117977
correctness,0.05,27,2.0075,1.8935829246823497,0.35837326369759565,0.46717241878069315,50.1425,0.35837326369759565
correctness,0.05,28,2.19,2.1055934711925146,0.3265248987578342,0.41719992740909895,50.695,0.3265248987578342
correctness,0.05,29,2.0775,1.97304932279583,0.34017380009273274,0.4404509231486682,49.715,0.34017380009273274
correctness,0.05,30,2.035,2.0419419759038893,0.3334017957903518,0.4128477566686841,48.3125,0.3334017957903518
correctness,0.05,31,2.0525,1.9976927152989499,0.33427312153631805,0.4330172336904593,49.575,0.33427312153631805
correctness,0.05,32,2.1125,2.0472401280141086,0.3423051453195264,0.4327780335392816,50.875,0.3423051453195264
